State,Population
Alabama,"4,852,347"
Alaska,"737,498"
Arizona,"6,829,676"
Arkansas,"2,978,048"
California,"38,918,045"
Colorado,"5,450,623"
Connecticut,"3,587,122"
Delaware,"941,252"
District of Columbia,"675,400"
Florida,"20,209,042"
Georgia,"10,178,447"
Hawaii,"1,422,052"
Idaho,"1,651,059"
Illinois,"12,858,913"
Indiana,"6,608,422"
Iowa,"3,120,960"
Kansas,"2,909,011"
Kentucky,"4,425,976"
Louisiana,"4,664,628"
Maine,"1,328,262"
Maryland,"5,985,562"
Massachusetts,"6,794,228"
Michigan,"9,931,715"
Minnesota,"5,482,032"
Mississippi,"2,988,471"
Missouri,"6,071,732"
Montana,"1,030,475"
Nebraska,"1,891,277"
Nevada,"2,866,939"
New Hampshire,"1,336,350"
New Jersey,"8,867,949"
New Mexico,"2,089,291"
New York,"19,654,666"
North Carolina,"10,031,646"
North Dakota,"754,066"
Ohio,"11,617,527"
Oklahoma,"3,909,500"
Oregon,"4,015,792"
Pennsylvania,"12,784,826"
Rhode Island,"1,056,065"
South Carolina,"4,891,938"
South Dakota,"853,988"
Tennessee,"6,591,170"
Texas,"27,470,056"
Utah,"2,981,835"
Vermont,"625,216"
Virginia,"8,361,808"
Washington,"7,163,657"
West Virginia,"1,842,050"
Wisconsin,"5,760,940"
Wyoming,"585,613"
